favorite_count,in_reply_to_status_id,in_reply_to_user_id,place,retweet_count,retweeted,tweet_id
37023,,,,7899,False,892420643555336193
31860,,,,5870,False,892177421306343426
23996,,,,3874,False,891815181378084864
40356,,,,8065,False,891689557279858688
38562,,,,8735,False,891327558926688256
19383,,,,2904,False,891087950875897856
11302,,,,1922,False,890971913173991426
62462,,,,17634,False,890729181411237888
26668,,,,4003,False,890609185150312448
30538,,,,6870,False,890240255349198849
29401,,,,6846,False,890006608113172480
26680,,,,4661,False,889880896479866881
46009,,,,9370,False,889665388333682689
25927,,,,4212,False,889638837579907072
14478,,,,2110,False,889531135344209921
24133,,,,5002,False,889278841981685760
27869,,,,4202,False,888917238123831296
24484,,,,3978,False,888804989199671297
18957,,,,3277,False,888554962724278272
20834,,,,3245,False,888078434458587136
28928,,,,5027,False,887705289381826560
44356,,,,10970,False,887517139158093824
65952,,,,16861,False,887473957103951883
32257,,,,9773,False,887343217045368832
29283,,,,5567,False,887101392804085760
33567,,,,7173,False,886983233522544640
11508,,,,3027,False,886736880519319552
21473,,,,4165,False,886680336477933568
20253,,,,2980,False,886366144734445568
115,8.862663570751283e+17,2281181600.0,,4,False,886267009285017600
26772,,,,5896,False,886258384151887873
0,,,,101,False,886054160059072513
31220,,,,6311,False,885984800019947520
34441,,,,5981,False,885528943205470208
19596,,,,3485,False,885518971528720385
0,,,,17333,False,885311592912609280
20984,,,,4090,False,885167619883638784
74035,,,,16946,False,884925521741709313
26697,,,,5235,False,884876753390489601
23271,,,,4404,False,884562892145688576
25884,,,,5313,False,884441805382717440
69779,,,,19023,False,884247878851493888
19510,,,,2788,False,884162670584377345
20935,,,,3225,False,883838122936631299
43969,,,,9256,False,883482846933004288
21706,,,,3464,False,883360690899218434
35553,,,,6214,False,883117836046086144
22877,,,,3646,False,882992080364220416
27090,,,,4578,False,882762694511734784
26756,,,,5673,False,882627270321602560
42989,,,,10846,False,882268110199369728
28095,,,,4584,False,882045870035918850
23284,,,,3179,False,881906580714921986
48514,,,,9994,False,881666595344535552
121,8.816070373140521e+17,47384430.0,,7,False,881633300179243008
47341,,,,14937,False,881536004380872706
22206,,,,4905,False,881268444196462592
16314,,,,2611,False,880935762899988482
20396,,,,3579,False,880872448815771648
27308,,,,5835,False,880465832366813184
25863,,,,3926,False,880221127280381952
26481,,,,4056,False,880095782870896641
21415,,,,3272,False,879862464715927552
299,8.795538273341727e+17,3105440746.0,,10,False,879674319642796034
22471,,,,2979,False,879492040517615616
101467,,,,41598,False,879415818425184262
16123,,,,2929,False,879376492567855104
0,,,,6373,False,879130579576475649
21595,,,,4383,False,879050749262655488
18194,,,,2517,False,879008229531029506
18570,,,,3843,False,878776093423087618
28932,,,,6698,False,878604707211726852
0,,,,1207,False,878404777348136964
0,,,,6257,False,878316110768087041
7400,,,,1207,False,878281511006478336
40327,,,,6373,False,878057613040115712
76299,,,,17836,False,877736472329191424
0,,,,74,False,877611172832227328
21775,,,,3572,False,877556246731214848
26276,,,,4859,False,877316821321428993
26000,,,,5240,False,877201837425926144
19869,,,,3130,False,876838120628539392
22632,,,,4389,False,876537666061221889
18011,,,,2235,False,876484053909872640
26818,,,,4382,False,876120275196170240
24177,,,,4005,False,875747767867523072
21043,,,,4629,False,875144289856114688
26355,,,,5711,False,875097192612077568
24457,,,,4445,False,875021211251597312
26722,,,,4361,False,874680097055178752
0,,,,13733,False,874434818259525634
25016,,,,3878,False,874296783580663808
21821,,,,3733,False,874057562936811520
33123,,,,9715,False,874012996292530176
23271,,,,3708,False,873580283840344065
0,,,,1501,False,873337748698140672
6908,,,,1501,False,873213775632977920
26255,,,,5107,False,872967104147763200
14171,,,,3501,False,872820683541237760
19970,,,,3454,False,872620804844003328
39191,,,,8521,False,872486979161796608
33122,,,,7670,False,872122724285648897
36389,,,,10456,False,871879754684805121
19512,,,,3292,False,871762521631449091
19441,,,,3282,False,871515927908634625
0,,,,5418,False,871166179821445120
20194,,,,5227,False,871102520638267392
21903,,,,3619,False,871032628920680449
32472,,,,5878,False,870804317367881728
118,8.707262027424932e+17,16487760.0,,3,False,870726314365509632
11962,,,,2501,False,870656317836468226
80040,,,,25114,False,870374049280663552
21129,,,,3950,False,870308999962521604
35381,,,,7907,False,870063196459192321
41088,,,,9597,False,869772420881756160
27324,,,,6015,False,869702957897576449
15464,,,,2988,False,869596645499047938
19772,,,,3606,False,869227993411051520
63436,,,,13777,False,868880397819494401
0,,,,1985,False,868639477480148993
25891,,,,5061,False,868622495443632128
9792,,,,1985,False,868552278524837888
23473,,,,4000,False,867900495410671616
32961,,,,7028,False,867774946302451713
15643,,,,2377,False,867421006826221569
0,,,,116,False,867072653475098625
31318,,,,7540,False,867051520902168576
19488,,,,4605,False,866720684873056260
18738,,,,3326,False,866686824827068416
118922,,,,33824,False,866450705531457537
51038,,,,13733,False,866334964761202691
0,,,,8056,False,866094527597207552
24973,,,,5393,False,865718153858494464
25777,,,,4799,False,865359393868664832
27284,,,,7383,False,865006731092295680
31441,,,,8375,False,864873206498414592
14227,,,,2907,False,864279568663928832
29315,,,,8545,False,864197398364647424
20099,,,,3981,False,863907417377173506
14909,,,,4034,False,863553081350529029
0,,,,2345,False,863471782782697472
23261,,,,5061,False,863432100342583297
2180,8.634256455687741e+17,77596200.0,,92,False,863427515083354112
8573,6.671521640794235e+17,4196983835.0,,1066,False,863079547188785154
8285,,,,2345,False,863062471531167744
18741,,,,4972,False,862831371563274240
16697,,,,3418,False,862722525377298433
20015,,,,4779,False,862457590147678208
72796,,,,22440,False,862096992088072192
35337,,,,10370,False,861383897657036800
16838,,,,4014,False,861288531465048066
16361,,,,3701,False,861005113778896900
0,,,,2088,False,860981674716409858
0,,,,785,False,860924035999428608
7366,,,,2088,False,860563773140209665
23186,,,,5144,False,860524505164394496
17991,,,,3392,False,860276583193509888
16357,,,,5685,False,860184849394610176
0,,,,30101,False,860177593139703809
19207,,,,3985,False,859924526012018688
15134,,,,3413,False,859851578198683649
18259,,,,1524,False,859607811541651456
88427,,,,29372,False,859196978902773760
33302,,,,13280,False,859074603037188101
0,,,,7939,False,858860390427611136
15306,,,,3415,False,858843525470990336
21161,,,,4738,False,858471635011153920
15489,,,,2848,False,858107933456039936
15874,,,,2535,False,857989990357356544
33752,,,,10388,False,857746408056729600
5803,,,,1608,False,857393404942143489
19755,,,,4424,False,857263160327368704
223,8.571566780553421e+17,180670967.0,,17,False,857214891891077121
0,,,,168,False,857062103051644929
18661,,,,3927,False,857029823797047296
16098,,,,2830,False,856543823941562368
11725,8.55818117272019e+17,4196983835.0,,1847,False,856526610513747968
0,,,,655,False,856330835276025856
510,,,,15,False,856288084350160898
27472,,,,6188,False,856282028240666624
341,8.558615844633518e+17,194351775.0,,25,False,855862651834028034
4942,8.558585356070011e+17,13615722.0,,985,False,855860136149123072
11753,,,,2084,False,855857698524602368
45149,,,,17671,False,855851453814013952
26393,,,,5347,False,855818117272018944
29646,,,,8113,False,855459453768019968
0,,,,5893,False,855245323840757760
0,,,,44,False,855138241867124737
22672,,,,5995,False,854732716440526848
29123,,,,6822,False,854482394044301312
18786,,,,4649,False,854365224396361728
31851,,,,7433,False,854120357044912130
16137,,,,3129,False,854010172552949760
28511,,,,5711,False,853760880890318849
34692,,,,10036,False,853639147608842240
15472,,,,3534,False,853299958564483072
0,,,,1995,False,852936405516943360
9056,,,,1815,False,852912242202992640
14905,,,,2143,False,852672615818899456
16305,,,,3486,False,852553447878664193
33153,,,,9909,False,852311364735569921
20031,,,,6838,False,852226086759018497
11477,,,,1582,False,852189679701164033
0,,,,19,False,851861385021730816
16279,,,,3476,False,851591660324737024
24310,,,,7066,False,851464819735769094
20741,,,,5731,False,851224888060895234
31018,,,,9179,False,850753642995093505
13139,,,,2622,False,850380195714523136
3469,8.503288187788206e+17,21955058.0,,334,False,850333567704068097
16413,,,,3817,False,850145622816686080
20531,,,,4893,False,850019790995546112
30681,,,,7642,False,849776966551130114
0,,,,4972,False,849668094696017920
15971,,,,3168,False,849412302885593088
11489,,,,1914,False,849336543269576704
42669,,,,8532,False,849051919805034497
25379,,,,4351,False,848690551926992896
24959,,,,4632,False,848324959059550208
8268,8.482121117298401e+17,4196983835.0,,739,False,848213670039564288
16476,,,,3074,False,848212111729840128
0,,,,3287,False,847978865427394560
0,,,,433,False,847971574464610304
23732,,,,5138,False,847962785489326080
5504,,,,1341,False,847842811428974592
7062,8.476061755961385e+17,4196983835.0,,421,False,847617282490613760
18959,,,,3447,False,847606175596138505
20686,,,,4331,False,847251039262605312
20136,,,,5928,False,847157206088847362
21663,,,,3219,False,847116187444137987
20314,,,,3958,False,846874817362120707
45144,,,,11706,False,846514051647705089
14274,,,,3104,False,846505985330044928
32039,,,,9161,False,846153765933735936
31344,,,,10093,False,846139713627017216
16190,,,,2905,False,846042936437604353
29644,,,,8821,False,845812042753855489
25504,,,,4849,False,845677943972139009
7736,,,,1828,False,845397057150107648
23649,,,,5456,False,845306882940190720
0,,,,7764,False,845098359547420673
13819,7.590995235327795e+17,4196983835.0,,2594,False,844979544864018432
15312,,,,3248,False,844973813909606400
16718,,,,3175,False,844580511645339650
13832,,,,2234,False,844223788422217728
15374,,,,2989,False,843981021012017153
21781,,,,4695,False,843856843873095681
17148,,,,2788,False,843604394117681152
21869,,,,6112,False,843235543001513987
15477,,,,3692,False,842846295480000512
6865,,,,1303,False,842765311967449089
18395,,,,3564,False,842535590457499648
24871,,,,5893,False,842163532590374912
14229,,,,3086,False,842115215311396866
0,,,,15448,False,841833993020538882
26139,,,,7938,False,841680585030541313
12873,,,,3753,False,841439858740625411
20127,,,,5593,False,841320156043304961
16101,,,,4758,False,841314665196081154
23271,,,,5418,False,841077006473256960
0,,,,1795,False,840761248237133825
0,,,,16478,False,840728873075638272
178,8.406983002988626e+17,8.405478643549184e+17,,2,False,840698636975636481
12502,,,,996,False,840696689258311684
9152,,,,1795,False,840632337062862849
16773,,,,4644,False,840370681858686976
19645,,,,5849,False,840268004936019968
13682,,,,2337,False,839990271299457024
28018,,,,7939,False,839549326359670784
0,,,,146,False,839290600511926273
27733,,,,6672,False,839239871831150596
20018,,,,4077,False,838952994649550848
11384,,,,2105,False,838921590096166913
0,,,,35,False,838916489579200512
0,,,,11273,False,838831947270979586
11139,,,,1362,False,838561493054533637
23037,,,,4892,False,838476387338051585
0,,,,10305,False,838201503651401729
1710,8.381454986911949e+17,21955058.0,,340,False,838150277551247360
144,8.380855393624023e+17,2894131180.0,,1,False,838085839343206401
18000,,,,3219,False,838083903487373313
34898,,,,8056,False,837820167694528512
3920,,,,448,False,837482249356513284
13082,,,,2329,False,837471256429613056
16396,,,,2429,False,837110210464448512
13014,,,,2337,False,836989968035819520
19721,,,,4755,False,836753516572119041
12888,,,,2274,False,836677758902222849
0,,,,563,False,836648853927522308
0,,,,28261,False,836397794269200385
15088,,,,3057,False,836380477523124226
21783,,,,4404,False,836260088725786625
19530,,,,4369,False,836001077879255040
0,,,,8348,False,835685285446955009
18198,,,,3703,False,835574547218894849
0,,,,1742,False,835536468978302976
0,,,,21587,False,835309094223372289
16831,,,,3088,False,835297930240217089
7907,,,,1742,False,835264098648616962
2155,8.35245984028504e+17,26259576.0,,73,False,835246439529840640
26776,,,,5912,False,835172783151792128
